,product_code,product_label,2016,2017,2018,2019,2020,importer,exporter
57,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,0,0,0,0,,Afghanistan,Africa not elsewhere specified
58,59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable . . .",0,0,0,0,,Afghanistan,Africa not elsewhere specified
59,60,Knitted or crocheted fabrics,0,0,0,0,,Afghanistan,Africa not elsewhere specified
60,61,"Articles of apparel and clothing accessories, knitted or crocheted",0,0,0,0,,Afghanistan,Africa not elsewhere specified
61,62,"Articles of apparel and clothing accessories, not knitted or crocheted",0,0,0,0,,Afghanistan,Africa not elsewhere specified
62,63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,0,0,0,0,,Afghanistan,Africa not elsewhere specified
63,64,"Footwear, gaiters and the like; parts of such articles",0,0,0,0,,Afghanistan,Africa not elsewhere specified
64,65,Headgear and parts thereof,0,0,0,0,,Afghanistan,Africa not elsewhere specified
65,66,"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof",0,0,0,0,,Afghanistan,Africa not elsewhere specified
66,67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles . . .,0,0,0,0,,Afghanistan,Africa not elsewhere specified
67,68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",0,0,0,0,,Afghanistan,Africa not elsewhere specified
68,69,Ceramic products,0,0,0,0,,Afghanistan,Africa not elsewhere specified
69,70,Glass and glassware,0,0,0,0,,Afghanistan,Africa not elsewhere specified
70,71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad . . .",0,0,0,0,,Afghanistan,Africa not elsewhere specified
71,72,Iron and steel,0,0,0,0,,Afghanistan,Africa not elsewhere specified
72,73,Articles of iron or steel,0,0,0,0,,Afghanistan,Africa not elsewhere specified
73,74,Copper and articles thereof,0,0,0,0,,Afghanistan,Africa not elsewhere specified
74,75,Nickel and articles thereof,0,0,0,0,,Afghanistan,Africa not elsewhere specified
75,76,Aluminium and articles thereof,0,0,0,0,,Afghanistan,Africa not elsewhere specified
76,78,Lead and articles thereof,0,0,0,0,,Afghanistan,Africa not elsewhere specified
77,79,Zinc and articles thereof,0,0,0,0,,Afghanistan,Africa not elsewhere specified
78,80,Tin and articles thereof,0,0,0,0,,Afghanistan,Africa not elsewhere specified
79,81,Other base metals; cermets; articles thereof,0,0,0,0,,Afghanistan,Africa not elsewhere specified
80,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",0,0,0,0,,Afghanistan,Africa not elsewhere specified
81,83,Miscellaneous articles of base metal,0,0,0,0,,Afghanistan,Africa not elsewhere specified
82,84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",0,0,0,0,,Afghanistan,Africa not elsewhere specified
83,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television . . .",0,0,0,0,,Afghanistan,Africa not elsewhere specified
84,86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures . . .",0,0,0,0,,Afghanistan,Africa not elsewhere specified
85,87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",0,0,0,0,,Afghanistan,Africa not elsewhere specified
86,88,"Aircraft, spacecraft, and parts thereof",0,0,0,0,,Afghanistan,Africa not elsewhere specified
87,89,"Ships, boats and floating structures",0,0,0,0,,Afghanistan,Africa not elsewhere specified
88,90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical . . .",0,0,0,0,,Afghanistan,Africa not elsewhere specified
89,91,Clocks and watches and parts thereof,0,0,0,0,,Afghanistan,Africa not elsewhere specified
90,92,Musical instruments; parts and accessories of such articles,0,0,0,0,,Afghanistan,Africa not elsewhere specified
91,93,Arms and ammunition; parts and accessories thereof,0,0,0,0,,Afghanistan,Africa not elsewhere specified
92,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; . . .",0,0,0,0,,Afghanistan,Africa not elsewhere specified
93,95,"Toys, games and sports requisites; parts and accessories thereof",0,0,0,0,,Afghanistan,Africa not elsewhere specified
94,96,Miscellaneous manufactured articles,0,0,0,0,,Afghanistan,Africa not elsewhere specified
95,97,"Works of art, collectors' pieces and antiques",0,0,0,0,,Afghanistan,Africa not elsewhere specified
96,99,Commodities not elsewhere specified,0,0,0,0,,Afghanistan,Africa not elsewhere specified
97,01,Live animals,0,0,0,0,,Afghanistan,Africa not elsewhere specified
98,02,Meat and edible meat offal,0,0,0,0,,Afghanistan,Africa not elsewhere specified
99,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,0,0,0,,Afghanistan,Africa not elsewhere specified
100,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere . . .",0,0,0,0,,Afghanistan,Africa not elsewhere specified
101,05,"Products of animal origin, not elsewhere specified or included",0,0,0,0,,Afghanistan,Africa not elsewhere specified
102,06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",0,0,0,0,,Afghanistan,Africa not elsewhere specified
103,07,Edible vegetables and certain roots and tubers,0,0,0,0,,Afghanistan,Africa not elsewhere specified
104,08,Edible fruit and nuts; peel of citrus fruit or melons,0,0,0,0,,Afghanistan,Africa not elsewhere specified
105,09,"Coffee, tea, maté and spices",0,0,0,0,,Afghanistan,Africa not elsewhere specified
106,10,Cereals,0,0,0,0,,Afghanistan,Africa not elsewhere specified
107,11,Products of the milling industry; malt; starches; inulin; wheat gluten,0,0,0,0,,Afghanistan,Africa not elsewhere specified
108,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal . . .",0,0,0,0,,Afghanistan,Africa not elsewhere specified
109,13,"Lac; gums, resins and other vegetable saps and extracts",0,0,0,0,,Afghanistan,Africa not elsewhere specified
110,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,0,0,0,0,,Afghanistan,Africa not elsewhere specified
111,15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal . . .,0,0,0,0,,Afghanistan,Africa not elsewhere specified
112,16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",0,0,0,0,,Afghanistan,Africa not elsewhere specified
113,17,Sugars and sugar confectionery,0,0,0,0,,Afghanistan,Africa not elsewhere specified
114,18,Cocoa and cocoa preparations,0,0,0,0,,Afghanistan,Africa not elsewhere specified
115,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",0,0,0,0,,Afghanistan,Africa not elsewhere specified
116,20,"Preparations of vegetables, fruit, nuts or other parts of plants",0,0,0,0,,Afghanistan,Africa not elsewhere specified
117,21,Miscellaneous edible preparations,0,0,0,0,,Afghanistan,Africa not elsewhere specified
118,22,"Beverages, spirits and vinegar",0,0,0,0,,Afghanistan,Africa not elsewhere specified
119,23,Residues and waste from the food industries; prepared animal fodder,0,0,0,0,,Afghanistan,Africa not elsewhere specified
120,24,Tobacco and manufactured tobacco substitutes,0,0,0,0,,Afghanistan,Africa not elsewhere specified
121,25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",0,0,0,0,,Afghanistan,Africa not elsewhere specified
122,26,"Ores, slag and ash",0,0,0,0,,Afghanistan,Africa not elsewhere specified
123,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral . . .",0,0,0,0,,Afghanistan,Africa not elsewhere specified
124,28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, . . .",0,0,0,0,,Afghanistan,Africa not elsewhere specified
125,29,Organic chemicals,0,0,0,0,,Afghanistan,Africa not elsewhere specified
126,30,Pharmaceutical products,0,0,0,0,,Afghanistan,Africa not elsewhere specified
127,31,Fertilisers,0,0,0,0,,Afghanistan,Africa not elsewhere specified
128,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring . . .",0,0,0,0,,Afghanistan,Africa not elsewhere specified
129,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0,0,0,0,,Afghanistan,Africa not elsewhere specified
130,34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial . . .",0,0,0,0,,Afghanistan,Africa not elsewhere specified
131,35,Albuminoidal substances; modified starches; glues; enzymes,0,0,0,0,,Afghanistan,Africa not elsewhere specified
132,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,0,0,0,0,,Afghanistan,Africa not elsewhere specified
133,37,Photographic or cinematographic goods,0,0,0,0,,Afghanistan,Africa not elsewhere specified
134,38,Miscellaneous chemical products,0,0,0,0,,Afghanistan,Africa not elsewhere specified
135,39,Plastics and articles thereof,0,0,0,0,,Afghanistan,Africa not elsewhere specified
136,40,Rubber and articles thereof,0,0,0,0,,Afghanistan,Africa not elsewhere specified
137,41,Raw hides and skins (other than furskins) and leather,0,0,0,0,,Afghanistan,Africa not elsewhere specified
138,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles . . .",0,0,0,0,,Afghanistan,Africa not elsewhere specified
139,43,Furskins and artificial fur; manufactures thereof,0,0,0,0,,Afghanistan,Africa not elsewhere specified
140,44,Wood and articles of wood; wood charcoal,0,0,0,0,,Afghanistan,Africa not elsewhere specified
141,45,Cork and articles of cork,0,0,0,0,,Afghanistan,Africa not elsewhere specified
142,46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",0,0,0,0,,Afghanistan,Africa not elsewhere specified
143,47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or . . .,0,0,0,0,,Afghanistan,Africa not elsewhere specified
144,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",0,0,0,0,,Afghanistan,Africa not elsewhere specified
145,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, . . .",0,0,0,0,,Afghanistan,Africa not elsewhere specified
146,50,Silk,0,0,0,0,,Afghanistan,Africa not elsewhere specified
147,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0,0,0,0,,Afghanistan,Africa not elsewhere specified
148,52,Cotton,0,0,0,0,,Afghanistan,Africa not elsewhere specified
149,53,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,0,0,0,0,,Afghanistan,Africa not elsewhere specified
